sample,MX1303_C5JC4ACXX_3_TAGGAT,MX1304_C5JC4ACXX_4_CCGGTG,MX1305_C5JC4ACXX_5_TGTTGG,MX1306_C5JC4ACXX_6_GTATAG,MX1307_C5JC4ACXX_7_AGCATC,MX1307_C5JC4ACXX_7_CAGGCC,MX1310_C5JC1ACXX_4_CTCTAC,MX1310_C5JC1ACXX_4_GGAACT,MX1310_C5JC1ACXX_4_GGACGG,MX1310_C5JC1ACXX_4_TGACAT,MX1355_C6RGTANXX_2_AAGCTA,MX1355_C6RGTANXX_2_ACATCG,MX1355_C6RGTANXX_2_CAAGTT,MX1355_C6RGTANXX_2_CATTCA,MX1355_C6RGTANXX_2_GGAACT,MX1356_C6RGTANXX_3_ATGGCA,MX1356_C6RGTANXX_3_CCTTGC,MX1356_C6RGTANXX_3_CGGCCT,MX1356_C6RGTANXX_3_GCGTGG,MX1356_C6RGTANXX_3_GCTGTA,MX1356_C6RGTANXX_3_GTATAG,MX1356_C6RGTANXX_3_TAGTTG,MX1356_C6RGTANXX_3_TGACAT,MX1357_C6RGTANXX_4_AATTAT,MX1357_C6RGTANXX_4_AGTCTT,MX1357_C6RGTANXX_4_CATGGG,MX1357_C6RGTANXX_4_GCCTAA,MX1357_C6RGTANXX_4_GTAGCC,MX1357_C6RGTANXX_4_TATCGT,MX1357_C6RGTANXX_4_TCTGAG
hsa-let-7a-3p,43.026,49.513,28.438,45.977,22.12,23.407,14.7,40.781,34.335,47.784,31.072,26.668,14.378,23.953,29.676,40.521,33.935,11.311,27.973,34.672,33.158,17.133,53.418,36.274,28.732,19.227,38.88,47.153,39.458,38.078
hsa-let-7a-5p,"5,259.15","7,207.52","6,688.33","7,791.65","5,122.54","2,566.79","1,808.41","7,776.65","6,236.74","5,512.67","2,019.67","1,319.82","1,119.44","2,419.68","4,945.99","5,451.73","4,475.11",778.04,"1,758.39","3,657.44","3,703.89",784.885,"5,984.44","4,294.22","3,793.75","2,323.95","4,212.37","4,514.86","4,125.29","3,923.72"
hsa-let-7a-2-3p,0,0.193,0.034,0.051,0,0,0,0.047,0,0.056,0,0,0.187,0,0.09,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0
hsa-let-7a-5p,"5,251.66","7,197.09","6,683.37","7,782.55","5,117.13","2,563.73","1,805.90","7,766.96","6,225.49","5,503.62","2,011.13","1,311.50","1,110.85","2,409.47","4,927.25","5,439.49","4,462.76",775.983,"1,754.24","3,649.66","3,691.84",782.522,"5,969.33","4,278.73","3,780.98","2,313.28","4,191.17","4,492.29","4,114.23","3,909.80"
hsa-let-7a-3p,42.591,48.869,28.267,45.471,21.889,23.152,14.7,40.402,33.917,47.562,29.907,26.633,14.378,23.953,29.587,40.23,33.539,11.311,27.768,34.612,33.088,16.838,53.218,35.882,28.616,19.11,38.844,46.923,39.324,37.691
hsa-let-7a-5p,"5,333.97","7,269.33","6,737.43","7,854.22","5,167.78","2,596.83","1,842.72","7,829.15","6,295","5,578.94","2,028.99","1,321.62","1,114.95","2,436.26","4,970.56","5,466.02","4,513.73",784.852,"1,784.39","3,682.62","3,731.62",788.135,"6,013.14","4,315.20","3,801.86","2,335.56","4,219.32","4,507.97","4,149.11","3,958.10"
hsa-let-7b-3p,99.03,140.039,60.165,80.32,52.919,30.805,23.86,87.695,72.535,65.745,55.929,37.912,34.731,65.161,127.76,62.24,58.627,11.311,26.135,43.467,41.413,8.271,67.637,45.097,39.057,23.917,42.087,45.659,46.811,44.698
hsa-let-7b-5p,725.003,887.942,"1,801.84","1,818.02",541.475,312.39,346.284,"1,242.44",619.071,799.47,243.526,228.105,478.958,476.331,486.207,"1,105.74",472.909,97.046,189.683,"1,427.82",324.16,173.697,987.649,635.868,454.759,356.53,573.217,910.14,949.057,402.042
hsa-let-7c-3p,0.697,2.769,0.822,4.046,0.96,0.638,0.357,1.018,1.058,1.615,0,1.089,0.747,0.568,0.179,0.729,0.462,0.643,0.408,0.6,0.871,1.182,1.553,1.373,0.661,0.234,1.14,1.666,0.879,1.044
hsa-let-7c-5p,304.582,546.247,796.708,634.569,537.289,259.645,111.66,337.944,311.677,290.967,184.101,133.729,195.504,218.867,311.108,249.833,226.32,41.775,75.07,219.588,205.182,46.969,318.953,176.467,155.967,97.427,213.749,296.239,196.381,206.046
hsa-let-7d-3p,21.252,34.897,32.138,54.373,12.942,12.501,8.311,49.33,16.786,31.077,16.701,13.492,17.179,17.482,13.09,33.525,24.098,4.884,17.423,40.826,16.335,8.567,48.138,17.451,15.3,12.662,26.264,43.017,33.41,20.068
hsa-let-7d-5p,16.026,25.239,39.745,38.895,15.207,11.799,14.968,67.423,60.352,48.648,67.581,42.515,57.886,82.529,124.623,55.535,47.733,11.825,23.957,51.302,37.268,14.475,81.768,51.371,53.35,38.103,51.673,77.132,64.048,54.896
hsa-let-7e-3p,18.639,22.535,7.366,19.372,11.636,8.1,5.853,12.836,9.55,21.915,8.933,6.395,4.108,3.86,5.469,11.807,14.657,4.627,8.099,13.178,13.793,8.862,14.619,13.333,10.037,7.855,20.491,19.297,14.733,15.446
hsa-let-7e-5p,"1,181.22","1,482.41","1,172.98","1,574.43","1,046.89",491.036,768.393,"1,009.90","1,379.82","1,197.23",557.352,470.404,488.481,700.76,"1,115.60","1,232.99","1,253.87",321.987,641.055,"1,328.54","1,349.13",523.749,"1,325.17","1,277.42",759.302,656.198,"1,043.76",976.762,933.684,972.142
hsa-let-7f-1-3p,0.435,1.159,2.261,0.961,0.23,0.319,0,1.492,0.172,0.529,0.388,0.211,0,0.454,0.179,0.583,0.198,0,0.34,0.54,0.244,0.295,0.555,0.392,0.431,0.352,0.285,0.287,0.613,0.477
hsa-let-7f-5p,49.385,142.743,177.001,147.439,84.37,47.771,22.877,81.727,79.23,64.269,123.511,104.074,169.176,209.672,199.575,184.387,80.81,16.71,41.108,155.648,72.341,24.518,147.941,109.017,66.983,49.945,69.028,101.082,93.701,58.832
hsa-let-7f-2-3p,0,0,0.034,0.051,0.077,0,0.223,0.379,0.271,0.39,0.388,0.281,0,0,0.09,0,0.132,0,0,0.06,0.07,0,0.067,0.196,0.086,0,0.107,0.057,0.08,0.119
hsa-let-7f-5p,35.536,117.826,155.415,114.967,70.085,40.117,18.23,57.003,58.604,43.218,119.627,101.157,166.748,204.109,188.817,154.652,65.163,14.91,36.412,136.316,57.051,23.928,114.267,81.175,45.384,37.4,41.624,75.984,70.336,41.06
hsa-let-7g-3p,0,0,0.103,0.051,0.038,0,0.045,0.071,0,0.056,0,0.176,0,0.114,0.179,0,0,0,0,0.03,0,0,0.111,0,0,0.117,0,0,0.027,0
hsa-let-7g-5p,3.919,18.672,7.024,7.739,3.917,3.444,2.592,7.815,6.769,6.154,24.469,18.622,19.42,34.056,47.697,14.868,11.422,1.928,5.581,12.548,8.185,2.659,14.552,9.019,7.161,6.214,8.909,11.142,11.243,7.484
hsa-let-7i-3p,10.365,15.839,20.934,24.683,9.101,6.824,11.349,18.14,10.018,22.778,6.991,5.095,4.668,19.185,4.572,41.542,10.497,2.057,18.648,68.053,15.673,5.908,41.394,22.745,7.075,8.91,8.446,17.172,48.223,13.627
hsa-let-7i-5p,32.487,67.605,115.294,102.878,45.276,33.229,23.547,102.141,64.216,53.131,54.764,42.691,54.151,74.696,49.58,172.726,67.077,19.152,39.27,213.194,57.887,36.039,189.402,82.743,68.622,73.393,72.841,147.143,131.747,52.779
hsa-miR-1-3p,4.007,7.726,5.619,13.96,4.263,2.615,2.1,5.921,5.612,4.4,3.884,3.478,2.241,4.541,15.78,6.122,5.084,0.257,1.906,2.702,4.806,0.295,3.549,8.235,3.106,1.172,4.383,5.169,4.503,2.028
hsa-miR-1-5p,0,0.193,0,0.303,0.115,0.064,0,0.118,0.172,0.195,0,0.035,0.187,0,0.179,0.146,0.066,0,0.068,0.03,0.279,0,0.155,0.196,0.058,0,0.143,0,0.24,0.089
hsa-miR-1-3p,4.007,7.662,5.516,13.808,4.263,2.615,2.055,5.684,5.513,4.344,3.884,3.478,2.241,4.541,15.69,6.122,5.018,0.257,1.838,2.582,4.772,0.295,3.483,7.843,3.106,1.172,4.348,5.112,4.369,2.028
hsa-miR-100-3p,0,0,0.034,0,0,0,0,0.024,0,0,0.388,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.036,0,0,0
hsa-miR-100-5p,11.932,9.336,8.429,11.026,29.532,45.028,6.389,32.824,14.62,15.817,142.931,28.39,32.304,64.707,28.69,17.637,7.328,10.54,3.811,11.617,18.286,12.998,11.58,24.313,84.613,42.676,94.366,92.984,11.643,12.106
hsa-miR-101-3p,952.155,"2,147.77","2,285.42","1,999.20","1,552.53","1,154.15",354.327,"1,477.32","1,576.01","1,254.31",784.177,733.61,520.225,923.146,"1,374.79","3,889.47","1,290.71",300.007,474.241,"1,306.39",956.319,456.102,"1,798.85","1,694.86","1,626.86",991.977,"1,375.11","1,766.06","1,217.19","1,036.70"
hsa-miR-101-5p,22.645,58.14,61.81,43.397,40.092,30.678,12.556,54.35,51.959,45.807,10.098,9.241,7.656,9.536,19.097,24.05,13.27,2.314,4.22,11.437,9.404,4.431,12.977,17.647,17.112,10.083,13.471,16.885,12.335,12.852
hsa-miR-101-3p,982.029,"2,219.24","2,365.01","2,062.53","1,611.14","1,202.43",370.278,"1,538.56","1,645.02","1,302.18",814.083,759.47,536.47,954.25,"1,420.88","4,067.88","1,367.23",313.889,493.706,"1,390.11","1,016.12",472.349,"1,908.75","1,759.57","1,705.34","1,034.07","1,437.48","1,835.10","1,269.70","1,080.11"
hsa-miR-103a-3p,642.609,846.349,660.823,670.177,"1,471.74",983.475,215.277,967.889,719.173,519.057,"1,425.81","1,368.07",992.087,"1,833.92","1,652.10",588.872,725.506,340.111,410.06,571.019,745.704,338.236,821.962,503.518,685.934,508.709,682.586,632.739,356.263,440.061
hsa-miR-103a-2-5p,8.536,8.37,4.694,5.513,5.069,4.401,3.083,7.247,6.227,7.184,21.362,16.268,7.656,9.649,10.49,6.122,8.913,4.242,9.12,7.054,10.937,3.545,10.426,5.294,4.17,5.041,4.704,4.365,6.101,12.434
hsa-miR-103a-3p,647.051,849.632,664.9,673.97,"1,477.76",987.429,216.26,974.946,724.637,522.287,"1,431.25","1,371.79",994.514,"1,836.42","1,656.13",596.015,733.758,343.068,414.28,576.152,752.217,341.781,830.214,508.42,693.412,514.102,692.458,639.573,360.339,444.981
hsa-miR-103b,"8,832.25","8,968.21","8,919.38","7,248.73","12,004.60","8,194.60","2,752.76","12,224.70","9,569.83","6,891.62","7,159.35","7,233.05","4,860.35","9,206.26","9,162.62","7,876.46","10,838.70","4,379.80","6,194.06","7,622.39","10,156.30","4,895.42","11,245","7,060.43","8,055.66","6,344.50","7,445.58","7,741.16","5,447.61","7,114.09"
hsa-miR-103b,"8,832.25","8,968.21","8,919.38","7,248.73","12,004.60","8,194.60","2,752.76","12,224.70","9,569.83","6,891.62","7,159.35","7,233.05","4,860.35","9,206.26","9,162.62","7,876.46","10,838.60","4,379.80","6,194.06","7,622.39","10,156.30","4,895.42","11,245","7,060.43","8,055.66","6,344.50","7,445.58","7,741.16","5,447.61","7,114.09"
hsa-miR-105-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0.087,0.193,0.103,0.253,0.077,0,0.089,0.758,0.394,0.585,1.554,2.53,1.494,0.908,1.345,0.146,0.198,0.257,0.136,0.03,0.209,0,0.111,0.196,0,0.352,0.036,0.057,0,0.388
hsa-miR-105-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0.087,0.193,0.103,0.253,0.077,0,0.089,0.758,0.394,0.585,1.554,2.53,1.494,0.908,1.345,0.146,0.198,0.257,0.136,0.03,0.209,0,0.111,0.196,0,0.352,0.036,0.057,0,0.388
hsa-miR-106a-3p,0,0,0,0,0,0,0.045,0.024,0,0.028,0,0.035,0.187,0,0,0,0,0,0.068,0,0.035,0,0.022,0,0,0,0,0,0,0
hsa-miR-106a-5p,7.229,6.117,3.769,2.883,5.453,4.209,2.458,12.528,6.006,9.774,35.733,49.964,37.719,28.948,22.325,6.122,10.96,16.838,20.622,6.484,16.579,19.497,13.998,5.49,4.947,5.862,6.308,4.193,4.742,13.329
