sample	MX1303_C5JC4ACXX_3_TAGGAT	MX1304_C5JC4ACXX_4_CCGGTG	MX1305_C5JC4ACXX_5_TGTTGG	MX1306_C5JC4ACXX_6_GTATAG	MX1307_C5JC4ACXX_7_AGCATC	MX1307_C5JC4ACXX_7_CAGGCC	MX1310_C5JC1ACXX_4_CTCTAC	MX1310_C5JC1ACXX_4_GGAACT	MX1310_C5JC1ACXX_4_GGACGG	MX1310_C5JC1ACXX_4_TGACAT	MX1355_C6RGTANXX_2_AAGCTA	MX1355_C6RGTANXX_2_ACATCG	MX1355_C6RGTANXX_2_CAAGTT	MX1355_C6RGTANXX_2_CATTCA	MX1355_C6RGTANXX_2_GGAACT	MX1356_C6RGTANXX_3_ATGGCA	MX1356_C6RGTANXX_3_CCTTGC	MX1356_C6RGTANXX_3_CGGCCT	MX1356_C6RGTANXX_3_GCGTGG	MX1356_C6RGTANXX_3_GCTGTA	MX1356_C6RGTANXX_3_GTATAG	MX1356_C6RGTANXX_3_TAGTTG	MX1356_C6RGTANXX_3_TGACAT	MX1357_C6RGTANXX_4_AATTAT	MX1357_C6RGTANXX_4_AGTCTT	MX1357_C6RGTANXX_4_CATGGG	MX1357_C6RGTANXX_4_GCCTAA	MX1357_C6RGTANXX_4_GTAGCC	MX1357_C6RGTANXX_4_TATCGT	MX1357_C6RGTANXX_4_TCTGAG
hsa-let-7a-3p	43.03	49.51	28.44	45.98	22.12	23.41	14.70	40.78	34.34	47.78	31.07	26.67	14.38	23.95	29.68	40.52	33.94	11.31	27.97	34.67	33.16	17.13	53.42	36.27	28.73	19.23	38.88	47.15	39.46	38.08
hsa-let-7a-5p	5259.15	7207.52	6688.33	7791.65	5122.54	2566.79	1808.41	7776.65	6236.74	5512.67	2019.67	1319.82	1119.44	2419.68	4945.99	5451.73	4475.11	778.04	1758.39	3657.44	3703.89	784.89	5984.44	4294.22	3793.75	2323.95	4212.37	4514.86	4125.29	3923.72
hsa-let-7a-2-3p	0.00	0.19	0.03	0.05	0.00	0.00	0.00	0.05	0.00	0.06	0.00	0.00	0.19	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-let-7a-5p	5251.66	7197.09	6683.37	7782.55	5117.13	2563.73	1805.90	7766.96	6225.49	5503.62	2011.13	1311.50	1110.85	2409.47	4927.25	5439.49	4462.76	775.98	1754.24	3649.66	3691.84	782.52	5969.33	4278.73	3780.98	2313.28	4191.17	4492.29	4114.23	3909.80
hsa-let-7a-3p	42.59	48.87	28.27	45.47	21.89	23.15	14.70	40.40	33.92	47.56	29.91	26.63	14.38	23.95	29.59	40.23	33.54	11.31	27.77	34.61	33.09	16.84	53.22	35.88	28.62	19.11	38.84	46.92	39.32	37.69
hsa-let-7a-5p	5333.97	7269.33	6737.43	7854.22	5167.78	2596.83	1842.72	7829.15	6295.00	5578.94	2028.99	1321.62	1114.95	2436.26	4970.56	5466.02	4513.73	784.85	1784.39	3682.62	3731.62	788.14	6013.14	4315.20	3801.86	2335.56	4219.32	4507.97	4149.11	3958.10
hsa-let-7b-3p	99.03	140.04	60.17	80.32	52.92	30.81	23.86	87.70	72.54	65.75	55.93	37.91	34.73	65.16	127.76	62.24	58.63	11.31	26.14	43.47	41.41	8.27	67.64	45.10	39.06	23.92	42.09	45.66	46.81	44.70
hsa-let-7b-5p	725.00	887.94	1801.84	1818.02	541.48	312.39	346.28	1242.44	619.07	799.47	243.53	228.11	478.96	476.33	486.21	1105.74	472.91	97.05	189.68	1427.82	324.16	173.70	987.65	635.87	454.76	356.53	573.22	910.14	949.06	402.04
hsa-let-7c-3p	0.70	2.77	0.82	4.05	0.96	0.64	0.36	1.02	1.06	1.62	0.00	1.09	0.75	0.57	0.18	0.73	0.46	0.64	0.41	0.60	0.87	1.18	1.55	1.37	0.66	0.23	1.14	1.67	0.88	1.04
hsa-let-7c-5p	304.58	546.25	796.71	634.57	537.29	259.65	111.66	337.94	311.68	290.97	184.10	133.73	195.50	218.87	311.11	249.83	226.32	41.78	75.07	219.59	205.18	46.97	318.95	176.47	155.97	97.43	213.75	296.24	196.38	206.05
